100019.0 -0.026491392 -0.046256147 322.4745711522843 0.0 12.173488254363646 0.0 -0.05296 0.0899 -0.696 0.12541 
100168 0.008244288 0.019504512 322.4705311291 0.0 12.1729209921 0.0 0.0902 0.06206 -0.16638 0.0515 
100168.0 0.0075985547 0.02066883 322.4705313084704 0.0 12.172920668678229 0.0 0.0902 0.06206 -0.16638 0.0515 
100249 -0.010883592 -0.024207445 322.4641289319 0.0 12.1728011232 0.0 0.13588 0.0599 -0.37013 0.08277 
100249.0 -0.0118563445 -0.021617293 322.46412920210895 0.0 12.172800403713886 0.0 0.13588 0.0599 -0.37013 0.08277 
100260 -0.007757208 0.007648704 322.4630286927 0.0 12.1725998653 0.0 -0.03053 0.04596 -0.18003 0.02374 
100260.0 -0.0075386465 0.008908545 322.4630286319885 0.0 12.172599515344352 0.0 -0.03053 0.04596 -0.18003 0.02374 
1003 -0.00012236391 0.001123776 322.4959104295 0.0 12.1643268606 0.0 -0.01336 0.03086 0.12245 0.03442 
1003.0 -2.6723865e-05 0.00026687744 322.4959104029333 0.0 12.164327098627378 0.0 -0.01336 0.03086 0.12245 0.03442 
100410 -0.04903405 0.02158614 322.5134420596 0.0 12.1746007093 0.0 -0.81142 0.15655 0.1692 0.09664 
100410.0 -0.043225132 0.020402087 322.5134404460112 0.0 12.17460103820349 0.0 -0.81142 0.15655 0.1692 0.09664 
100450 -0.027955044 0.092039436 322.5091668655 0.0 12.1742288222 0.0 -0.37317 0.29064 1.51879 0.5489 
100740 0.0015113158 0.00604926 322.4958439498 0.0 12.1738767188 0.0 -0.20072 0.06245 -0.05982 0.09729 
100740.0 0.0029482576 0.006467877 322.49584355064957 0.0 12.173876602517456 0.0 -0.20072 0.06245 -0.05982 0.09729 
100981 -0.018630613 -0.002386332 322.4900721853 0.0 12.1738850732 0.0 0.31503 0.11556 -0.02862 0.05918 
100981.0 -0.020885892 -0.0021860509 322.49007281176654 0.0 12.173885017566324 0.0 0.31503 0.11556 -0.02862 0.05918 
101114 -0.00044312395 0.008361036 322.4745136739 0.0 12.1745682047 0.0 0.08968 0.05829 0.74443 0.14335 
101114.0 -0.0010851391 0.0031515546 322.4745138522375 0.0 12.17456965177818 0.0 0.08968 0.05829 0.74443 0.14335 
101157 -0.126982 0.040633775 322.4799646197 0.0 12.1737265686 0.0 -3.0562 0.79194 0.37324 0.45255 
101215 -0.009766008 0.002569284 322.521863828 0.0 12.1750327977 0.0 -0.16893 0.04316 0.11412 0.12198 
101215.0 -0.0085566435 0.0017706783 322.52186349206545 0.0 12.175033019534908 0.0 -0.16893 0.04316 0.11412 0.12198 
101220 0.0127854 0.005295168 322.5188314457 0.0 12.175607228 0.0 -0.83235 0.18796 -0.75797 0.19679 
101220.0 0.01874418 0.010599402 322.51882979048355 0.0 12.17560575460176 0.0 -0.83235 0.18796 -0.75797 0.19679 
101577.0 -0.046106037 -0.030673575 322.4939666220425 0.0 12.175965036077148 0.0 -1.09054 0.06766 1.03843 0.09491 
101697 0.052822117 0.06193091 322.4959534291 0.0 12.1757116001 0.0 0.05593 0.0808 0.08054 0.10856 
101697.0 0.052421715 0.061367292 322.4959535403228 0.0 12.17571175665962 0.0 0.05593 0.0808 0.08054 0.10856 
101799.0 -0.001814513 0.005250625 322.4923276430014 0.0 12.17531343868309 0.0 0.02972 0.17946 -0.17003 0.10299 
101858 0.00053352 0.001983024 322.4701943453 0.0 12.1753949983 0.0 0.01576 0.0789 0.17816 0.34778 
101858.0 0.0004206946 0.0007362698 322.4701943766404 0.0 12.175395344620604 0.0 0.01576 0.0789 0.17816 0.34778 
101925 0.002406168 0.001067076 322.4681065837 0.0 12.1752686194 0.0 0.29499 0.08414 -0.12115 0.03069 
101925.0 0.00029434272 0.0019148772 322.46810717031815 0.0 12.175268383899658 0.0 0.29499 0.08414 -0.12115 0.03069 
101971.0 0.028530635 -0.06799403 322.5137094464137 0.0 12.176562472730577 0.0 -0.15402 0.21354 -1.04712 0.29051 
